Dist区域,BIDS投标数量,WorkDays工期,Length长度,Lanes车道数,ContDays合同日期,ContAmnt合同金额,CPPR承包商绩效评分,CPI消费物价指数,ConstSpndg建设投资支出,PLR基准贷款利率,PPI (2 year lag)生产物价指数,ActualAmnt实际结算金额,Client
6,7,62,0.94,2,180,2564886.38,102,212.366,788332,0.1,205.3,2462796.05,Client 1
6,7,26,0.23,2,180,998939.03,96,193.396,809256,0.18,222.4,913774.16,Client 1
6,7,10,0.93,1,140,985713.42,98,193.396,809256,0.18,222.4,984849.0,Client 1
6,9,41,1.19,1,180,817035.23,102,193.396,809256,0.18,222.4,751496.07,Client 1
7,3,21,11.0,4,255,3915881.41,54,163.1,991356,1.35,133.7,3897197.44,Client 1
7,2,7,7.17,2,115,801944.4,90,173.9,1116811,3.22,136.6,810344.05,Client 1
7,2,7,1.52,4,100,1461857.26,96,173.9,1116811,3.22,136.6,1446489.69,Client 1
7,3,21,1.04,2,290,4022305.88,96,173.9,1116811,3.22,136.6,4287534.24,Client 1
7,3,3,12.21,5,150,2612103.59,96,173.9,1116811,3.22,136.6,2866421.81,Client 1
7,2,6,2.12,3,330,7392135.14,99,173.9,1116811,3.22,136.6,7528736.35,Client 1
7,2,6,12.23,6,320,7695245.06,108,173.9,1116811,3.22,136.6,7939965.8,Client 1
7,4,45,2.54,4,310,3130155.65,83,157.6,891497,1.13,137.0,3586872.31,Client 1
7,2,21,1.23,2,190,3975002.7,91,180.9,1161282,4.97,148.2,4127146.94,Client 1
7,6,3,6.9,4,100,837837.0,96,179.252,906543,0.16,195.5,790933.95,Client 1
7,4,38,3.25,1,210,4924444.44,96,179.252,906543,0.16,195.5,5343354.13,Client 1
7,6,3,0.63,1,75,787444.44,104,179.252,906543,0.16,195.5,760175.08,Client 1
7,7,22,1.97,4,270,2898638.63,48,212.366,788332,0.1,205.3,2792480.63,Client 1
7,6,13,3.45,2,170,2585986.46,85,212.366,788332,0.1,205.3,2461133.02,Client 1
7,6,23,1.77,3,90,738184.46,87,212.366,788332,0.1,205.3,812561.43,Client 1
7,6,20,1.78,4,145,1022228.75,94,212.366,788332,0.1,205.3,1049522.75,Client 1
7,5,12,1.06,5,150,1288505.56,97,212.366,788332,0.1,205.3,1184190.41,Client 1
7,5,40,4.98,1,170,3077847.53,97,212.366,788332,0.1,205.3,3218795.11,Client 1
7,6,14,7.02,2,215,1943725.08,98,212.366,788332,0.1,205.3,1896421.39,Client 1
7,4,12,0.7,4,75,356665.0,98,212.366,788332,0.1,205.3,324263.13,Client 1
7,6,60,11.48,4,120,1563239.26,98,212.366,788332,0.1,205.3,1588775.64,Client 1
7,5,20,0.28,6,250,2377986.2,100,212.366,788332,0.1,205.3,2455372.54,Client 1
7,6,153,0.52,1,190,4738000.0,100,212.366,788332,0.1,205.3,4983234.08,Client 1
7,6,27,2.11,1,240,2948196.38,100,212.366,788332,0.1,205.3,2984278.04,Client 1
7,6,85,2.74,2,180,2322979.0,100,212.366,788332,0.1,205.3,2353145.32,Client 1
7,5,87,0.42,2,550,9444488.88,101,212.366,788332,0.1,205.3,8573797.99,Client 1
7,6,4,17.04,4,90,1230699.45,102,212.366,788332,0.1,205.3,1195058.42,Client 1
7,1,96,15.6,2,330,4780000.0,102,212.366,788332,0.1,205.3,5037095.54,Client 1
7,6,83,1.43,1,280,6617367.56,104,212.366,788332,0.1,205.3,6950167.86,Client 1
7,3,1,0.42,1,110,893647.47,104,212.366,788332,0.1,205.3,835433.99,Client 1
7,7,4,7.99,2,90,356381.03,108,212.366,788332,0.1,205.3,266516.8,Client 1
7,5,26,0.93,1,225,2925879.92,38,193.396,809256,0.18,222.4,2648286.49,Client 1
7,6,32,0.53,2,140,1445901.98,64,193.396,809256,0.18,222.4,1218120.99,Client 1
7,5,2,4.83,2,75,226486.36,91,193.396,809256,0.18,222.4,216983.63,Client 1
7,6,25,1.64,2,140,1483989.51,92,193.396,809256,0.18,222.4,1537269.28,Client 1
7,2,11,0.55,1,150,442340.0,97,193.396,809256,0.18,222.4,522347.93,Client 1
7,5,9,1.47,4,225,3434263.44,98,193.396,809256,0.18,222.4,3391605.68,Client 1
7,3,25,5.44,2,180,2633483.26,98,193.396,809256,0.18,222.4,2531543.18,Client 1
7,3,19,0.32,1,225,2364635.46,98,193.396,809256,0.18,222.4,2066715.63,Client 1
7,5,7,0.64,4,120,1444222.21,98,193.396,809256,0.18,222.4,1502241.05,Client 1
7,5,58,0.34,4,200,3614812.81,98,193.396,809256,0.18,222.4,3592438.71,Client 1
7,4,51,1.97,2,160,2028888.88,98,193.396,809256,0.18,222.4,2480055.9,Client 1
7,7,83,3.16,2,165,8289263.47,98,193.396,809256,0.18,222.4,8967312.52,Client 1
7,5,16,6.02,4,160,2097832.99,98,193.396,809256,0.18,222.4,2168898.14,Client 1
7,5,21,0.52,1,105,1604283.36,98,193.396,809256,0.18,222.4,1529453.45,Client 1
7,6,14,0.67,5,200,1845000.0,98,193.396,809256,0.18,222.4,1707340.13,Client 1
7,5,10,0.27,4,180,2275465.61,99,193.396,809256,0.18,222.4,2238163.98,Client 1
7,5,8,9.86,4,240,1421762.08,102,193.396,809256,0.18,222.4,1524003.82,Client 1
7,8,46,1.9,1,290,3180874.41,102,193.396,809256,0.18,222.4,3297396.02,Client 1
2,4,25,2.21,1,200,3875546.32,44,163.1,991356,1.35,133.7,3906882.21,Client 2
2,3,25,2.95,1,220,5723010.0,66,163.1,991356,1.35,133.7,5780682.71,Client 2
2,3,47,4.61,2,150,2773486.99,84,163.1,991356,1.35,133.7,3118423.18,Client 2
2,2,69,1.41,1,190,6382649.0,86,163.1,991356,1.35,133.7,6186274.01,Client 2
2,3,73,1.24,4,200,6781059.24,90,163.1,991356,1.35,133.7,7136780.31,Client 2
2,4,20,1.12,4,150,4482464.16,72,173.9,1116811,3.22,136.6,4471446.37,Client 2
2,3,27,4.23,5,180,10686653.0,81,173.9,1116811,3.22,136.6,11059129.32,Client 2
2,2,72,1.52,4,174,6653701.0,81,173.9,1116811,3.22,136.6,7006007.99,Client 2
2,2,4,1.37,4,90,1893000.0,81,173.9,1116811,3.22,136.6,1839544.96,Client 2
2,3,29,4.21,2,180,1935414.03,88,173.9,1116811,3.22,136.6,1988365.16,Client 2
2,3,79,2.4,4,150,4595937.0,89,173.9,1116811,3.22,136.6,4935192.16,Client 2
2,1,5,1.06,6,140,3905015.8,90,173.9,1116811,3.22,136.6,3822680.36,Client 2
2,3,22,3.06,2,175,4978217.65,94,173.9,1116811,3.22,136.6,4945622.47,Client 2
2,3,90,0.49,2,208,2324486.68,96,173.9,1116811,3.22,136.6,2689414.2,Client 2
2,3,5,6.38,4,240,4488989.84,97,173.9,1116811,3.22,136.6,4683127.91,Client 2
2,1,6,1.26,4,120,1823000.0,98,173.9,1116811,3.22,136.6,1805223.71,Client 2
2,3,2,0.9,4,60,648849.0,100,173.9,1116811,3.22,136.6,619930.24,Client 2
2,2,2,1.08,2,100,1219031.6,104,173.9,1116811,3.22,136.6,1285157.64,Client 2
2,3,35,2.44,6,300,5584137.53,75,180.9,1161282,4.97,148.2,4997942.28,Client 2
2,1,17,3.0,2,140,6396009.0,77,180.9,1161282,4.97,148.2,6014937.89,Client 2
2,2,20,0.24,4,175,5290000.0,83,180.9,1161282,4.97,148.2,5226871.7,Client 2
2,3,65,5.77,4,270,7078566.58,90,180.9,1161282,4.97,148.2,6738408.98,Client 2
2,3,17,8.75,2,180,4079905.2,92,180.9,1161282,4.97,148.2,4026812.53,Client 2
2,2,18,2.29,1,150,4976073.18,92,180.9,1161282,4.97,148.2,5001334.0,Client 2
2,1,12,1.47,3,130,5979436.0,95,180.9,1161282,4.97,148.2,5788651.62,Client 2
2,1,20,3.62,1,210,10144811.0,95,180.9,1161282,4.97,148.2,9758623.96,Client 2
2,2,3,5.02,1,90,2973331.79,96,180.9,1161282,4.97,148.2,2745779.11,Client 2
2,2,6,6.9,1,150,7613641.0,96,180.9,1161282,4.97,148.2,7577177.98,Client 2
2,2,11,9.18,2,150,6257470.7,98,180.9,1161282,4.97,148.2,6682740.92,Client 2
2,2,15,1.85,6,100,4343058.09,98,180.9,1161282,4.97,148.2,4498892.95,Client 2
2,2,2,1.8,1,60,2096784.0,98,180.9,1161282,4.97,148.2,2042399.35,Client 2
2,2,5,5.45,1,150,4777932.0,98,180.9,1161282,4.97,148.2,4577966.59,Client 2
2,2,15,4.57,4,200,8318997.3,98,180.9,1161282,4.97,148.2,7831953.42,Client 2
2,1,22,9.27,2,150,8895013.0,99,180.9,1161282,4.97,148.2,8647328.81,Client 2
2,1,22,1.4,2,240,9182366.0,100,180.9,1161282,4.97,148.2,9744449.14,Client 2
2,3,9,4.96,1,310,9113000.0,100,180.9,1161282,4.97,148.2,9648525.27,Client 2
2,3,4,1.85,4,75,1561128.95,103,180.9,1161282,4.97,148.2,1475379.71,Client 2
2,4,16,7.23,4,175,3275404.14,58,184.682,1147951,5.02,166.8,3623333.97,Client 2
2,3,12,3.35,1,180,5482979.55,71,184.682,1147951,5.02,166.8,5634012.73,Client 2
2,2,9,6.84,2,190,3564447.92,79,184.682,1147951,5.02,166.8,3890029.08,Client 2
2,3,29,12.69,1,280,4989000.0,83,184.682,1147951,5.02,166.8,5133424.99,Client 2
2,1,16,2.9,1,350,10588800.65,85,184.682,1147951,5.02,166.8,11229304.54,Client 2
2,2,14,1.95,6,150,2589999.0,89,184.682,1147951,5.02,166.8,2569686.95,Client 2
2,3,17,4.04,3,120,7014581.0,90,184.682,1147951,5.02,166.8,7441483.72,Client 2
2,2,11,1.92,5,80,2174994.19,93,184.682,1147951,5.02,166.8,2225736.08,Client 2
2,4,16,2.57,2,90,1686429.27,96,184.682,1147951,5.02,166.8,1705539.63,Client 2
2,3,23,1.55,6,180,5223787.09,96,184.682,1147951,5.02,166.8,5588719.94,Client 2
2,2,29,2.03,6,145,5980614.0,98,184.682,1147951,5.02,166.8,6445522.47,Client 2
