BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client
4,98,183,0.78,1,12,179.252,906543,0.16,195.5,1827051.42,Client 1
5,98,160,7.08,1,21,179.252,906543,0.16,195.5,2395425.74,Client 1
3,98,290,0.42,1,29,179.252,906543,0.16,195.5,7177574.46,Client 1
6,98,265,5.18,2,9,179.252,906543,0.16,195.5,1086777.99,Client 1
6,98,203,2.03,1,16,179.252,906543,0.16,195.5,2224741.65,Client 1
8,98,291,0.44,2,36,179.252,906543,0.16,195.5,3685295.45,Client 1
5,98,230,4.41,2,14,179.252,906543,0.16,195.5,2096802.35,Client 1
6,98,95,0.15,5,14,179.252,906543,0.16,195.5,307126.07,Client 1
4,100,180,6.33,1,11,179.252,906543,0.16,195.5,1098409.83,Client 1
6,100,98,3.88,1,12,179.252,906543,0.16,195.5,358046.07,Client 1
7,102,360,0.93,1,104,179.252,906543,0.16,195.5,4569725.96,Client 1
7,102,160,0.5,1,15,179.252,906543,0.16,195.5,939353.53,Client 1
7,102,160,1.66,3,18,179.252,906543,0.16,195.5,2469888.91,Client 1
4,102,156,0.9,1,8,179.252,906543,0.16,195.5,834374.68,Client 1
4,102,248,1.23,1,38,179.252,906543,0.16,195.5,4787600.56,Client 1
7,103,259,1.06,1,46,179.252,906543,0.16,195.5,3070172.15,Client 1
5,104,90,2.48,1,3,179.252,906543,0.16,195.5,446131.15,Client 1
7,104,195,3.71,1,31,179.252,906543,0.16,195.5,1727671.01,Client 1
6,104,90,15.5,2,13,179.252,906543,0.16,195.5,581491.26,Client 1
4,104,195,0.35,1,3,179.252,906543,0.16,195.5,970317.02,Client 1
5,77,196,6.1,1,9,212.366,788332,0.1,205.3,6245041.03,Client 1
6,78,178,1.53,3,21,212.366,788332,0.1,205.3,4264769.06,Client 1
6,80,257,0.19,3,48,212.366,788332,0.1,205.3,1716445.18,Client 1
5,87,392,4.26,1,109,212.366,788332,0.1,205.3,3358662.81,Client 1
4,96,170,5.57,2,12,212.366,788332,0.1,205.3,1511212.9,Client 1
8,96,135,0.16,2,14,212.366,788332,0.1,205.3,1010622.0,Client 1
3,98,200,11.1,2,13,212.366,788332,0.1,205.3,1583692.32,Client 1
6,98,235,1.95,2,19,212.366,788332,0.1,205.3,2506650.0,Client 1
5,98,177,2.43,4,23,212.366,788332,0.1,205.3,1597956.96,Client 1
6,98,141,7.07,4,23,212.366,788332,0.1,205.3,1694236.69,Client 1
5,98,112,6.72,2,1,212.366,788332,0.1,205.3,573200.7,Client 1
7,98,197,6.29,1,10,212.366,788332,0.1,205.3,944801.18,Client 1
4,98,180,2.17,4,20,212.366,788332,0.1,205.3,2732278.31,Client 1
4,98,235,2.15,1,50,212.366,788332,0.1,205.3,3031864.46,Client 1
5,98,165,0.93,6,9,212.366,788332,0.1,205.3,1230252.38,Client 1
4,98,217,1.89,2,50,212.366,788332,0.1,205.3,1728489.86,Client 1
3,98,175,0.0,2,13,212.366,788332,0.1,205.3,1506069.9,Client 1
3,99,295,2.52,4,40,212.366,788332,0.1,205.3,2883469.87,Client 1
5,100,443,1.68,3,44,212.366,788332,0.1,205.3,3929493.36,Client 1
6,100,855,0.39,2,46,212.366,788332,0.1,205.3,5777224.55,Client 1
6,100,345,2.11,3,29,212.366,788332,0.1,205.3,3998210.74,Client 1
6,100,273,4.39,1,70,212.366,788332,0.1,205.3,3439064.2,Client 1
3,100,340,9.67,6,68,212.366,788332,0.1,205.3,4176970.84,Client 1
4,100,245,5.12,4,30,212.366,788332,0.1,205.3,3227830.69,Client 1
6,100,97,3.98,2,17,212.366,788332,0.1,205.3,484142.3,Client 1
4,102,621,0.25,1,67,212.366,788332,0.1,205.3,9628539.54,Client 1
7,104,315,0.29,5,60,212.366,788332,0.1,205.3,3080900.28,Client 1
3,87,230,0.73,5,30,193.396,809256,0.18,222.4,2448952.76,Client 1
5,90,185,6.01,4,50,193.396,809256,0.18,222.4,3247956.81,Client 1
6,92,100,0.76,1,5,193.396,809256,0.18,222.4,366200.7,Client 1
4,93,185,5.0,1,25,193.396,809256,0.18,222.4,2414593.81,Client 1
4,94,154,1.52,2,17,193.396,809256,0.18,222.4,1028553.91,Client 1
6,95,225,0.78,2,11,193.396,809256,0.18,222.4,1862602.03,Client 1
3,95,135,0.56,1,25,193.396,809256,0.18,222.4,506264.9,Client 1
5,96,75,1.67,1,5,193.396,809256,0.18,222.4,284997.72,Client 1
3,97,355,16.05,1,8,193.396,809256,0.18,222.4,2328774.61,Client 1
7,98,139,1.36,1,7,193.396,809256,0.18,222.4,3297092.71,Client 1
7,98,210,1.28,4,12,193.396,809256,0.18,222.4,2093339.17,Client 1
6,98,230,1.06,4,28,193.396,809256,0.18,222.4,6821744.16,Client 1
4,98,210,8.32,4,54,193.396,809256,0.18,222.4,1585025.0,Client 1
6,98,159,0.42,1,25,193.396,809256,0.18,222.4,850304.49,Client 1
5,98,152,0.2,1,11,193.396,809256,0.18,222.4,1931806.0,Client 1
3,98,200,0.51,6,22,193.396,809256,0.18,222.4,1754491.67,Client 1
4,99,450,2.74,1,73,193.396,809256,0.18,222.4,2634260.35,Client 1
4,100,322,1.13,1,16,193.396,809256,0.18,222.4,4170284.82,Client 1
