scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
C_MAS_FL_LLM,10,perf_only,0.0005,20,0.99003404,3548607.0,2910213.8,-0.99003404,0.3980755,-1.9632070064544678,0.9880961,3853925.0,2941531.0,-1.3339476585388184,20
C_MAS_FL_LLM,11,perf_only,0.0005,20,0.98277193,3520977.0,2887872.5,-0.98277193,0.39497602,-1.9172425270080566,0.9798214,3820407.8,2914076.2,-1.2935280799865723,20
C_MAS_FL_LLM,12,perf_only,0.0005,20,0.9691449,3485600.8,2857142.2,-0.9691449,0.39100757,-1.8589165210723877,0.96820235,3776188.0,2876997.5,-1.2407419681549072,20
C_MAS_FL_LLM,13,perf_only,0.0005,20,0.94595903,3420812.8,2802764.0,-0.94595903,0.3837398,-1.7536251544952393,0.9484348,3708208.5,2818638.0,-1.1607913970947266,20
C_MAS_FL_LLM,14,perf_only,0.0005,20,0.93043876,3338356.2,2737029.0,-0.91850847,0.37449,-1.6224761009216309,0.92140883,3626686.8,2743486.2,-1.0668296813964844,20
C_MAS_FL_LLM,15,perf_only,0.0005,20,0.9059978,3237108.0,2646621.2,-0.8768329,0.36313218,-1.4658153057098389,0.88505185,3527302.8,2649102.0,-0.9551049470901489,20
C_MAS_FL_LLM,16,perf_only,0.0005,20,0.87506056,3070405.5,2501492.0,-0.80185354,0.34443182,-1.2183887958526611,0.8241639,3373346.8,2492974.5,-0.7881608009338379,20
C_MAS_FL_LLM,17,perf_only,0.0005,20,0.82700205,2883194.2,2331499.5,-0.7266918,0.32343087,-0.956113338470459,0.75150484,3198914.8,2316524.0,-0.6080145835876465,20
C_MAS_FL_LLM,18,perf_only,0.0005,20,0.7417096,2608929.8,2061801.6,-0.60228777,0.2926644,-0.6016625165939331,0.6471286,2937481.0,2046091.2,-0.3559221029281616,20
C_MAS_FL_LLM,19,perf_only,0.0005,20,0.6921616,2362991.0,1827440.6,-0.4491601,0.2650755,-0.31392431259155273,0.5460003,2659209.0,1759121.8,-0.11119306087493896,20
C_MAS_FL_LLM,20,perf_only,0.0005,20,0.62301946,2104672.5,1584699.2,-0.30432114,0.23609787,-0.04235386848449707,0.43597132,2417255.5,1493675.9,0.08181589841842651,20
C_MAS_FL_LLM,21,perf_only,0.0005,20,0.54826385,1819815.5,1319406.1,-0.12476301,0.2041432,0.2207067608833313,0.36738592,2162815.8,1278376.0,0.2649385333061218,20
C_MAS_FL_LLM,22,perf_only,0.0005,20,0.53735363,1646795.2,1203050.9,0.008776213,0.18473414,0.3618461489677429,0.35909793,1953458.5,1163719.0,0.4003567099571228,20
