round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
11,size_only,Client 2,150,752.8190307617188,0.9718195,4502819.5,3787310.2,-0.9718195,0.3424657534246575
11,size_only,Client 3,140,605.19140625,0.9794232,2256833.2,1946514.6,-0.9794232,0.319634703196347
12,size_only,Client 1,148,633.09013671875,0.97157556,3842047.0,3129905.5,-0.97157556,0.3378995433789954
12,size_only,Client 2,150,633.2286499023437,0.95376086,4423536.5,3713254.8,-0.95376086,0.3424657534246575
12,size_only,Client 3,140,523.6382263183593,0.9654698,2220802.8,1916365.4,-0.9654698,0.319634703196347
13,size_only,Client 1,148,521.3882873535156,0.9509387,3757540.5,3059654.0,-0.9509387,0.3378995433789954
13,size_only,Client 2,150,561.2981079101562,0.93305117,4337363.5,3630799.2,-0.93305117,0.3424657534246575
13,size_only,Client 3,140,412.2982543945312,0.94543785,2170022.8,1874140.9,-0.94543785,0.319634703196347
14,size_only,Client 1,148,433.68848876953126,0.9277705,3656079.5,2978943.2,-0.9277705,0.3378995433789954
14,size_only,Client 2,150,426.3235778808594,0.89735633,4182268.2,3488120.2,-0.89735633,0.3424657534246575
14,size_only,Client 3,140,325.3241333007812,0.92024165,2124444.2,1832125.4,-0.92024165,0.319634703196347
15,size_only,Client 1,148,345.7536376953125,0.8772278,3496390.8,2828179.2,-0.8772278,0.3378995433789954
15,size_only,Client 2,150,324.83826904296876,0.8553395,4014562.0,3326718.0,-0.8553395,0.3424657534246575
15,size_only,Client 3,140,259.64325256347655,0.87269825,1990244.6,1716668.9,-0.87269825,0.319634703196347
16,size_only,Client 1,148,265.5085510253906,0.82478654,3284024.8,2646024.8,-0.82478654,0.3378995433789954
16,size_only,Client 2,150,243.01293029785157,0.8023473,3817641.8,3129338.2,-0.8023473,0.3424657534246575
16,size_only,Client 3,140,186.40333251953126,0.8331273,1897752.8,1631280.2,-0.8331273,0.319634703196347
17,size_only,Client 1,148,198.54295043945314,0.7639344,3032982.5,2429446.2,-0.7639344,0.3378995433789954
17,size_only,Client 2,150,197.33374633789063,0.713145,3522307.8,2815905.0,-0.713145,0.3424657534246575
17,size_only,Client 3,140,128.44845428466797,0.7579173,1753547.5,1494678.2,-0.7579173,0.319634703196347
18,size_only,Client 1,148,135.87026824951172,0.70220727,2705084.0,2172070.0,-0.6670491,0.3378995433789954
18,size_only,Client 2,150,140.26114044189453,0.6252735,3237149.2,2503685.0,-0.6252735,0.3424657534246575
18,size_only,Client 3,140,85.09674301147462,0.61474377,1495714.2,1230399.9,-0.6113563,0.319634703196347
19,size_only,Client 1,148,97.79805908203124,0.6046378,2344780.0,1827398.4,-0.53322387,0.3378995433789954
19,size_only,Client 2,150,103.43875885009766,0.5247877,2904232.8,2140181.2,-0.5181413,0.3424657534246575
19,size_only,Client 3,140,53.3875244140625,0.484272,1326987.2,1021361.7,-0.4123341,0.319634703196347
20,size_only,Client 1,148,70.26707153320312,0.5253988,2082536.4,1551630.2,-0.40252295,0.3378995433789954
20,size_only,Client 2,150,85.73023910522461,0.43122393,2537927.2,1791088.6,-0.3773781,0.3424657534246575
20,size_only,Client 3,140,36.400505447387694,0.36384666,1091573.4,806125.75,-0.26500595,0.319634703196347
