BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client,source_index
2,98,60,1.8,1,2,180.9,1161282,4.97,148.2,2096784.0,Client 2,263
2,98,150,5.45,1,5,180.9,1161282,4.97,148.2,4777932.0,Client 2,264
2,98,200,4.57,4,15,180.9,1161282,4.97,148.2,8318997.3,Client 2,265
1,99,150,9.27,2,22,180.9,1161282,4.97,148.2,8895013.0,Client 2,266
1,100,240,1.4,2,22,180.9,1161282,4.97,148.2,9182366.0,Client 2,267
3,103,75,1.85,4,4,180.9,1161282,4.97,148.2,1561128.95,Client 2,269
4,58,175,7.23,4,16,184.682,1147951,5.02,166.8,3275404.14,Client 2,270
3,71,180,3.35,1,12,184.682,1147951,5.02,166.8,5482979.55,Client 2,271
2,79,190,6.84,2,9,184.682,1147951,5.02,166.8,3564447.92,Client 2,272
3,83,280,12.69,1,29,184.682,1147951,5.02,166.8,4989000.0,Client 2,273
1,85,350,2.9,1,16,184.682,1147951,5.02,166.8,10588800.65,Client 2,274
2,89,150,1.95,6,14,184.682,1147951,5.02,166.8,2589999.0,Client 2,275
2,93,80,1.92,5,11,184.682,1147951,5.02,166.8,2174994.19,Client 2,277
4,96,90,2.57,2,16,184.682,1147951,5.02,166.8,1686429.27,Client 2,278
2,98,145,2.03,6,29,184.682,1147951,5.02,166.8,5980614.0,Client 2,280
2,98,120,1.27,4,7,184.682,1147951,5.02,166.8,2607381.1,Client 2,281
2,100,250,1.15,4,10,184.682,1147951,5.02,166.8,10149000.0,Client 2,282
3,102,150,1.49,4,6,184.682,1147951,5.02,166.8,2230743.41,Client 2,283
4,102,70,1.33,3,2,184.682,1147951,5.02,166.8,1481410.0,Client 2,284
5,90,175,5.22,2,27,195.549,1077350,1.92,184.8,3321948.24,Client 2,286
4,92,180,1.3,2,20,195.549,1077350,1.92,184.8,3360682.02,Client 2,288
3,96,150,3.28,4,44,195.549,1077350,1.92,184.8,2298028.1,Client 2,290
2,96,175,0.91,2,50,195.549,1077350,1.92,184.8,5244604.07,Client 2,291
1,96,170,2.57,4,14,195.549,1077350,1.92,184.8,2478000.0,Client 2,292
2,102,140,12.55,4,37,195.549,1077350,1.92,184.8,5572062.44,Client 2,295
4,105,60,2.36,4,1,195.549,1077350,1.92,184.8,1211612.65,Client 2,297
5,83,210,1.1,6,53,179.252,906543,0.16,195.5,3906445.05,Client 2,298
3,89,150,2.0,1,46,179.252,906543,0.16,195.5,3573370.19,Client 2,299
3,90,180,2.84,2,10,179.252,906543,0.16,195.5,2726258.0,Client 2,300
3,93,270,3.03,1,37,179.252,906543,0.16,195.5,5781659.92,Client 2,302
5,94,180,3.68,6,26,179.252,906543,0.16,195.5,2639791.32,Client 2,303
2,94,90,6.55,4,7,179.252,906543,0.16,195.5,1091000.0,Client 2,304
4,94,280,1.14,1,60,179.252,906543,0.16,195.5,5269727.25,Client 2,305
3,94,170,1.64,1,8,179.252,906543,0.16,195.5,2839000.0,Client 2,306
2,96,50,0.63,4,13,179.252,906543,0.16,195.5,389209.0,Client 2,307
4,96,100,4.19,4,2,179.252,906543,0.16,195.5,1078899.0,Client 2,308
2,96,90,0.9,2,13,179.252,906543,0.16,195.5,693000.0,Client 2,309
2,96,180,0.98,3,42,179.252,906543,0.16,195.5,4869750.0,Client 2,311
3,97,180,0.55,2,30,179.252,906543,0.16,195.5,5046000.0,Client 2,314
3,98,65,4.22,2,13,179.252,906543,0.16,195.5,536873.71,Client 2,316
3,98,125,6.8,4,9,179.252,906543,0.16,195.5,1557971.31,Client 2,317
2,98,200,0.99,4,1,179.252,906543,0.16,195.5,3955441.7,Client 2,318
5,98,180,2.34,4,15,179.252,906543,0.16,195.5,3025866.36,Client 2,319
3,99,180,1.87,2,23,179.252,906543,0.16,195.5,2531845.02,Client 2,322
4,100,60,2.31,1,1,179.252,906543,0.16,195.5,259248.0,Client 2,323
3,101,120,2.33,4,2,179.252,906543,0.16,195.5,486603.3,Client 2,325
