round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,size_only,0.0005,20,0.9545971941730204,3467051.5593607305,2900730.0947488584,-0.9545971941730204,0.0,0.0,fedavg,1.0,1.0,,2.503119399112942,2.503119399112942,False,False,False,,,,,,,,,,,client_reported,final_round,0.9684934020042419,148,634.6592407226562,3.986744897991766,3.986744897991766,1.9369868040084839,0.9388105273246765,150,636.1459838867188,3.804252006849421,3.804252006849421,1.877621054649353,0.9568212032318115,140,524.1476257324218,4.7599667696385906,4.7599667696385906,1.913642406463623,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9373262622585036,3408794.5479452056,2849354.835616438,-0.9373262622585036,0.0,0.0,fedavg,1.0,1.0,,3.584796549212149,3.584796549212149,False,False,False,,,,,,,,,,,client_reported,final_round,0.9541618227958679,148,552.4343383789062,3.3584119443823934,3.3584119443823934,1.9083236455917358,0.9208466410636902,150,549.4232055664063,3.617438749330001,3.617438749330001,1.8416932821273804,0.9371854066848755,140,428.9537048339844,6.93581533827743,6.93581533827743,1.874370813369751,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.9115853508313497,3306900.771689498,2758790.799086758,-0.9115853508313497,0.0,0.0,fedavg,1.0,1.0,,2.9566185967861722,2.9566185967861722,False,False,False,,,,,,,,,,,client_reported,final_round,0.932091236114502,148,448.6343139648437,3.676464092493456,3.676464092493456,1.864182472229004,0.8822055459022522,150,463.809521484375,4.0085300261153565,4.0085300261153565,1.7644110918045044,0.9213860630989075,140,335.4012878417969,5.204277271419725,5.204277271419725,1.842772126197815,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.8736626380654775,3176250.453196347,2641071.228310502,-0.8736626380654775,0.0,0.0,fedavg,1.0,1.0,,2.8162227216049636,2.8162227216049636,False,False,False,,,,,,,,,,,client_reported,final_round,0.9037588834762573,148,364.85125732421875,4.292424811238444,4.292424811238444,1.8075177669525146,0.8406288027763367,150,380.3872924804688,3.310614196873981,3.310614196873981,1.6812576055526733,0.877240002155304,140,264.3696533203125,4.814475739567603,4.814475739567603,1.754480004310608,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8192945321400961,3051444.955479452,2519396.044520548,-0.8192945321400961,0.0,0.0,fedavg,1.0,1.0,,3.545392088524018,3.545392088524018,False,False,False,,,,,,,,,,,client_reported,final_round,0.8572934865951538,148,269.3584808349609,4.077180648703417,4.077180648703417,1.7145869731903076,0.7981704473495483,150,287.7800659179687,3.9024567538721304,3.9024567538721304,1.5963408946990967,0.8017571568489075,140,185.32233581542968,6.804039683256708,6.804039683256708,1.603514313697815,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.7360593630298632,2842063.493150685,2312573.7248858446,-0.7321339290436,0.0,0.0,fedavg,1.0,1.0,,3.2531201268398737,3.2531201268398737,False,False,False,,,,,,,,,,,client_reported,final_round,0.7784234881401062,148,202.4067138671875,3.946101801052612,3.946101801052612,1.5568469762802124,0.7251865863800049,150,205.89837646484375,3.5833780648622455,3.5833780648622455,1.4503731727600098,0.7029238343238831,140,152.9519805908203,5.236474447766257,5.236474447766257,1.393566608428955,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.6525824889200463,2587105.9315068494,2061418.497716895,-0.6420567795021893,0.0,0.0,fedavg,1.0,1.0,,4.32863029989063,4.32863029989063,False,False,False,,,,,,,,,,,client_reported,final_round,0.7029971480369568,148,133.51742553710938,6.27812468323823,6.27812468323823,1.4059942960739136,0.6359154582023621,150,141.88428802490233,4.183870816404507,4.183870816404507,1.2718309164047241,0.6171445250511169,140,90.42559661865235,4.982510122050304,4.982510122050304,1.2013585567474365,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.5499310885390191,2294508.6107305936,1758898.4748858449,-0.5025183150213058,0.0,0.0,fedavg,1.0,1.0,,2.122831683340611,2.122831683340611,False,False,False,,,,,,,,,,,client_reported,final_round,0.5883886218070984,148,93.11761322021485,3.617468328827708,3.617468328827708,1.1684657335281372,0.524234414100647,150,93.61316757202148,3.4931924455906995,3.4931924455906995,1.048468828201294,0.5368081331253052,140,73.66130218505859,3.5006803724654296,3.5006803724654296,0.9340684413909912,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.4501189990947236,1983942.200913242,1445306.2128995433,-0.3277231718851551,0.0,0.0,fedavg,1.0,1.0,,3.0419379688331936,3.0419379688331936,False,False,False,,,,,,,,,,,client_reported,final_round,0.4931436777114868,148,58.3854362487793,4.082699141937055,4.082699141937055,0.9280677437782288,0.4065205752849579,150,70.84161911010742,3.750022858460518,3.750022858460518,0.7717807292938232,0.45134836435317993,140,39.27143859863281,4.998830691378028,4.998830691378028,0.6255266666412354,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.39459098297167045,1650605.9663242009,1189582.7334474886,-0.15568040835258623,0.0,0.0,fedavg,1.0,1.0,,1.8697796731582055,1.8697796731582055,False,False,False,,,,,,,,,,,client_reported,final_round,0.401913046836853,148,25.493165969848633,3.618809086074215,3.618809086074215,0.6623611450195312,0.3724916875362396,150,34.90658302307129,3.0827009164481445,3.0827009164481445,0.5968350172042847,0.4105283319950104,140,24.61118507385254,4.673873609077487,4.673873609077487,0.38188686966896057,0.3378995433789954,0.3424657534246575,0.319634703196347
