round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,perf_only,0.0005,20,0.97417104,3795207.5,2894514.0,-0.97417104,0.34119833,-1.2633702754974365,fedyogi,1.0,0.4,1.0,13.610856214185445,3.771065581045698,False,True,True,0.983370304107666,148,731.5767822265625,12.189659245675983,12.189659245675983,1.966740608215332,0.9730233550071716,150,771.2289428710938,15.019644538401502,15.019644538401502,1.9460467100143433,0.9796939492225647,140,592.279833984375,14.568781278345645,14.568781278345645,1.9593878984451294,0.33174247848829813,0.33527016258143166,0.33298735893027026
12,perf_only,0.0005,20,0.96061313,3740143.5,2850170.2,-0.96061313,0.33624792,-1.198169231414795,fedyogi,1.0,0.4,1.0,12.702355498710006,3.9948635823246494,False,True,True,0.9728882312774658,148,638.003076171875,13.075769882009483,13.075769882009483,1.9457764625549316,0.9571205973625183,150,636.7400634765625,14.198596986432218,14.198596986432218,1.9142411947250366,0.9649401903152466,140,517.9170776367188,11.820910800567624,11.820910800567624,1.9298803806304932,0.33061011685044894,0.33605659230920026,0.3333332908403508
13,perf_only,0.0005,20,0.9339115,3640921.5,2767580.8,-0.9339115,0.32732764,-1.0830860137939453,fedyogi,1.0,0.4,1.0,15.76139961126617,4.1630457812002515,False,True,True,0.9585692882537842,148,553.1416198730469,14.195054981509285,14.195054981509285,1.9171385765075684,0.9409472942352295,150,543.9745910644531,17.65747367262303,17.65747367262303,1.881894588470459,0.9442665576934814,140,434.15827026367185,16.158504190614195,16.158504190614195,1.888533115386963,0.32961149073756346,0.3357844247380923,0.33460408452434426
14,perf_only,0.0005,20,0.90427893,3536003.5,2678221.2,-0.90427893,0.31789523,-0.9647620916366577,fedyogi,1.0,0.4,1.0,14.513109563751039,3.7885427038701147,False,True,True,0.9333899617195129,148,437.5096740722656,15.536618646191895,15.536618646191895,1.8667799234390259,0.9054598808288574,150,461.1593811035156,16.24032681205745,16.24032681205745,1.8109197616577148,0.92061847448349,140,355.2206665039063,12.622536009735393,12.622536009735393,1.84123694896698,0.32843753728241293,0.33856860663952115,0.33299385607806575
15,perf_only,0.0005,20,0.8530417,3371449.2,2531089.0,-0.8530417,0.30310142,-0.7861497402191162,fedyogi,1.0,0.4,1.0,14.539817215826988,3.8198664073470887,False,True,True,0.8971840739250183,148,371.59373779296874,13.575776683296533,13.575776683296533,1.7943681478500366,0.8617939352989197,150,366.79188842773436,16.43685007517438,16.43685007517438,1.7235878705978394,0.8884211182594299,140,297.95067443847654,14.790174063518215,14.790174063518215,1.7768422365188599,0.3277690044388765,0.341229040033547,0.33100195552757644
16,perf_only,0.0005,20,0.7870487,3172689.2,2343644.2,-0.7862659,0.28523242,-0.581756591796875,fedyogi,1.0,0.4,1.0,14.170451203324959,3.812071150801535,False,True,True,0.8481836915016174,148,291.5141235351563,13.038872693705244,13.038872693705244,1.6963673830032349,0.8037026524543762,150,302.85863037109374,15.358489306822367,15.358489306822367,1.6074053049087524,0.826583981513977,140,227.72522583007813,15.0260040681472,15.0260040681472,1.653167963027954,0.32451977237136964,0.34248034356246815,0.33299988406616227
17,perf_only,0.0005,20,0.69292724,2907103.0,2073622.6,-0.67993766,0.26135558,-0.3280225992202759,fedyogi,1.0,0.4,1.0,13.67458914152903,3.6726990247925855,False,True,True,0.7806041240692139,148,227.86770324707032,12.65421752925183,12.65421752925183,1.5562399625778198,0.7412228584289551,150,219.869384765625,14.114970082663945,14.114970082663945,1.4824457168579102,0.7735058069229126,140,162.58598937988282,15.252570794365452,15.252570794365452,1.529113531112671,0.3265512069295536,0.343900891075578,0.3295479019948685
18,perf_only,0.0005,20,0.6170536,2689421.8,1837100.1,-0.5754719,0.24178551,-0.13658630847930908,fedyogi,1.0,0.4,1.0,13.170277805135996,3.55751813239162,False,True,True,0.720080554485321,148,154.9148178100586,11.930737933379058,11.930737933379058,1.392554759979248,0.6627654433250427,150,156.91187133789063,13.453305432572169,13.453305432572169,1.3255308866500854,0.7050952911376953,140,124.36847229003907,15.197920949173911,15.197920949173911,1.33829927444458,0.3217781320141031,0.34960505293183897,0.3286168150540579
19,perf_only,0.0005,20,0.5284491,2418220.5,1557594.0,-0.4277757,0.21740386,0.08108270168304443,fedyogi,1.0,0.4,1.0,12.320948864795712,3.4171825500166286,False,True,True,0.6708934307098389,148,117.63016052246094,11.926416962610745,11.926416962610745,1.260191798210144,0.5529001355171204,150,128.42579803466796,12.347322860863168,12.347322860863168,1.0959768295288086,0.5526239275932312,140,73.63126373291016,13.73183293280973,13.73183293280973,1.0469547510147095,0.29176451126395153,0.35402927053620065,0.3542062181998478
20,perf_only,0.0005,20,0.46293077,2223018.8,1375470.0,-0.26213902,0.19985475,0.2234475016593933,fedyogi,1.0,0.4,1.0,11.326857749135181,3.543758181557312,False,True,True,0.5658933520317078,148,63.37115325927734,13.501203832918476,13.501203832918476,1.0001988410949707,0.4714200496673584,150,80.39474105834961,11.26665039672914,11.26665039672914,0.8814932107925415,0.49159717559814453,140,60.30673446655273,10.908424368056213,10.908424368056213,0.8241424560546875,0.2983709217275773,0.3581647860978445,0.3434642921745783
