round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,size_only,0.0005,20,0.9561162340586589,3472458.621004566,2905573.8162100455,-0.9561162340586589,0.0,0.0,fedyogi,1.0,0.5,1.0,3.1438490765173137,2.7431738468526334,False,True,True,,,,,,,,,,,client_reported,final_round,0.9697232246398926,148,645.9737915039062,4.438409245151334,4.438409245151334,1.9394464492797852,0.9409779906272888,150,646.6306640625,4.754396369242411,4.754396369242411,1.8819559812545776,0.9579512476921082,140,536.8409362792969,4.925495927870199,4.925495927870199,1.9159024953842163,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9389913629179132,3417144.7625570777,2855840.3036529683,-0.9389913629179132,0.0,0.0,fedyogi,1.0,0.5,1.0,4.364209551212664,2.1457671418579913,False,True,True,,,,,,,,,,,client_reported,final_round,0.9555777311325073,148,563.56640625,3.9400669376876656,3.9400669376876656,1.9111554622650146,0.924174964427948,150,560.7098571777344,4.479708488941435,4.479708488941435,1.848349928855896,0.9373319149017334,140,444.0207946777344,7.840690783378415,7.840690783378415,1.8746638298034668,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.9124968070962113,3309438.385844749,2760117.820776256,-0.9124968070962113,0.0,0.0,fedyogi,1.0,0.5,1.0,5.2883552960669595,2.9120522209400947,False,True,True,,,,,,,,,,,client_reported,final_round,0.9349172711372375,148,460.73041381835935,5.471408847054163,5.471408847054163,1.869834542274475,0.8801551461219788,150,480.7207397460937,6.379330209347908,6.379330209347908,1.7603102922439575,0.9234469532966614,140,348.6265869140625,7.167357358764965,7.167357358764965,1.8468939065933228,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.8763414703003348,3179086.684931507,2644418.936073059,-0.8763414703003348,0.0,0.0,fedyogi,1.0,0.5,1.0,5.726798333448134,3.161431207124341,False,True,True,,,,,,,,,,,client_reported,final_round,0.9061154723167419,148,379.158203125,5.752938876020888,5.752938876020888,1.8122309446334839,0.8432241678237915,150,389.8058166503906,6.446344246703879,6.446344246703879,1.686448335647583,0.8803489208221436,140,277.09027404785155,7.62809737346189,7.62809737346189,1.760697841644287,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8246651844346904,3040286.4394977167,2510944.252283105,-0.8246651844346904,0.0,0.0,fedyogi,1.0,0.5,1.0,5.86026228335828,3.8624803028225085,False,True,True,,,,,,,,,,,client_reported,final_round,0.8665288686752319,148,279.9974365234375,4.918111782512625,4.918111782512625,1.7330577373504639,0.7926310300827026,150,305.3456573486328,5.560577290690842,5.560577290690842,1.5852620601654053,0.8147315979003906,140,197.1394836425781,10.392349659525603,10.392349659525603,1.6294631958007812,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.7425710036330027,2831200.8105022833,2309477.9235159815,-0.7425710036330027,0.0,0.0,fedyogi,1.0,0.5,1.0,5.40713317905231,3.400840929273198,False,True,True,,,,,,,,,,,client_reported,final_round,0.7813892960548401,148,222.05306701660157,5.2499171842808305,5.2499171842808305,1.5627785921096802,0.7300609946250916,150,215.33438110351562,5.8310423383226455,5.8310423383226455,1.460121989250183,0.7149381041526794,140,159.6792205810547,8.310176883512844,8.310176883512844,1.4298762083053589,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.6655591720859754,2627591.97716895,2105300.5114155253,-0.6604399577667724,0.0,0.0,fedyogi,1.0,0.5,1.0,7.478302398567809,4.384955073504497,False,True,True,,,,,,,,,,,client_reported,final_round,0.7169599533081055,148,144.6929931640625,8.861672525443353,8.861672525443353,1.433919906616211,0.6529546976089478,150,153.0370330810547,7.089312683355508,7.089312683355508,1.3059093952178955,0.6247259974479675,140,95.9782600402832,8.374673536201556,8.374673536201556,1.233436107635498,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.5571033832145064,2321697.8047945206,1793545.0057077627,-0.5258235403391869,0.0,0.0,fedyogi,1.0,0.5,1.0,5.820059657512897,4.018228657657162,False,True,True,,,,,,,,,,,client_reported,final_round,0.6010293364524841,148,100.516845703125,6.91810852426204,6.91810852426204,1.1932575702667236,0.5389034152030945,150,100.16836090087891,6.285146918734354,6.285146918734354,1.0727076530456543,0.5301673412322998,140,76.69938507080079,6.819126191985581,6.819126191985581,0.9772409200668335,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.46249311318680575,2002421.299086758,1474419.2619863013,-0.36312204694639055,0.0,0.0,fedyogi,1.0,0.5,1.0,5.4370562848562,3.7116307668462016,False,True,True,,,,,,,,,,,client_reported,final_round,0.5135615468025208,148,64.1662811279297,6.499129907826991,6.499129907826991,0.969484806060791,0.4235535264015198,150,77.38692016601563,5.546348704870514,5.546348704870514,0.8051488995552063,0.4502274692058563,140,42.92311248779297,7.473198320214018,7.473198320214018,0.6954525113105774,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.388515522763065,1655741.6518264841,1193288.7448630137,-0.1900665248025498,0.0,0.0,fedyogi,1.0,0.5,1.0,4.175091241511232,3.1160712826235932,False,True,True,,,,,,,,,,,client_reported,final_round,0.41613879799842834,148,26.11074905395508,5.246095671466655,5.246095671466655,0.6910430192947388,0.36742663383483887,150,36.943268585205075,4.355516301460284,4.355516301460284,0.601134717464447,0.38190901279449463,140,27.791384887695312,7.485535284009583,7.485535284009583,0.4355311393737793,0.3378995433789954,0.3424657534246575,0.319634703196347
