round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,llm_control_action,llm_anchor_l1_limit,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,llm_strict_generative_coherence,0.0005,20,0.9560298380786425,3472107.2442922373,2905292.1130136987,-0.9560298380786425,0.0,0.0,fedyogi,1.5,0.75,1.0,3.0655019747177183,2.735934367420163,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9696539044380188,148,645.638671875,4.378031678614635,4.378031678614635,1.9393078088760376,0.9409351348876953,150,646.2453002929688,4.656038971697861,4.656038971697861,1.8818702697753906,0.9578001499176025,140,536.550830078125,4.914471171089433,4.914471171089433,1.915600299835205,0.338516,0.342151,0.319333
12,llm_strict_generative_coherence,0.0005,20,0.9388727964875905,3416721.616438356,2855491.3538812785,-0.9388727964875905,0.0,0.0,fedyogi,1.5,0.75,1.0,4.27136665113075,2.155239379089412,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9555066823959351,148,563.1619506835938,3.8393560160565805,3.8393560160565805,1.9110133647918701,0.9241254925727844,150,560.3283386230469,4.398563272303792,4.398563272303792,1.8482509851455688,0.9370890855789185,140,443.8214172363281,7.777180548337696,7.777180548337696,1.874178171157837,0.3374853374853375,0.3423853423853424,0.32012932012932016
13,llm_strict_generative_coherence,0.0005,20,0.9123495811741101,3308957.0525114154,2759699.5262557077,-0.9123495811741101,0.0,0.0,fedyogi,1.5,0.75,1.0,5.118749375772519,3.0554711415000924,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9348292946815491,148,460.24407348632815,5.332141653442324,5.332141653442324,1.8696585893630981,0.8800113201141357,150,480.2648559570313,6.221487627196715,6.221487627196715,1.7600226402282715,0.9232334494590759,140,348.309765625,7.046175558018604,7.046175558018604,1.8464668989181519,0.337952,0.342591,0.319457
14,llm_strict_generative_coherence,0.0005,20,0.8760802381114873,3178278.8002283103,2643675.25456621,-0.8760802381114873,0.0,0.0,fedyogi,1.5,0.75,1.0,5.401842846076242,3.3042394423696684,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9059343934059143,148,378.72132568359376,5.541541805362993,5.541541805362993,1.8118687868118286,0.8429954051971436,150,389.38324584960935,6.131673418835999,6.131673418835999,1.685990810394287,0.8799681663513184,140,276.7612030029297,7.322748906639502,7.322748906639502,1.7599363327026367,0.337604,0.342721,0.319675
15,llm_strict_generative_coherence,0.0005,20,0.8243542495927855,3039250.9634703198,2509998.5079908674,-0.8243542495927855,0.0,0.0,fedyogi,1.5,0.75,1.0,5.308598086337864,4.188851420636073,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.8663220405578613,148,279.7636749267578,4.559566917014255,4.559566917014255,1.7326440811157227,0.7923295497894287,150,305.0533172607422,5.167790546803171,5.167790546803171,1.5846590995788574,0.8143004775047302,140,196.9489318847656,9.835010764235994,9.835010764235994,1.6286009550094604,0.337221,0.342563,0.320216
16,llm_strict_generative_coherence,0.0005,20,0.7419675950590334,2829065.799086758,2307451.9337899545,-0.7419675950590334,0.0,0.0,fedyogi,1.0,0.5,1.0,4.6421090554306765,3.2392695101303746,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.7808138132095337,148,221.96393127441405,4.687781126349426,4.687781126349426,1.5616276264190674,0.7295249104499817,150,214.98538513183593,5.20614776758713,5.20614776758713,1.4590498208999634,0.7142330408096313,140,159.42108459472655,7.654701694617046,7.654701694617046,1.4284660816192627,0.3378995433789954,0.3424657534246575,0.319634703196347
17,llm_strict_generative_coherence,0.0005,20,0.6650826748647646,2626360.656392694,2104023.7157534244,-0.6598849865399539,0.0,0.0,fedyogi,1.0,0.5,1.0,6.824975817242238,4.340917908288462,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.7163004875183105,148,144.45516967773438,8.146988200753462,8.146988200753462,1.432600975036621,0.6525670886039734,150,152.7917236328125,6.616777368484558,6.616777368484558,1.3051341772079468,0.6243476867675781,140,95.7817268371582,7.785276571424241,7.785276571424241,1.2324340343475342,0.3378995433789954,0.3424657534246575,0.319634703196347
18,llm_strict_generative_coherence,0.0005,20,0.5566501560276502,2320058.470319635,1791848.7842465753,-0.5250559511794347,0.0,0.0,fedyogi,1.0,0.5,1.0,5.167181315535332,3.942019320696535,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.6004050970077515,148,100.33256683349609,6.385496013645663,6.385496013645663,1.1915785074234009,0.538632333278656,150,99.93121490478515,5.874791299539989,5.874791299539989,1.0718932151794434,0.5296997427940369,140,76.5742431640625,6.081188862241161,6.081188862241161,0.9760690331459045,0.3378995433789954,0.3424657534246575,0.319634703196347
19,llm_strict_generative_coherence,0.0005,20,0.46218299607163693,2001648.8801369863,1473538.2203196348,-0.3627788417687699,0.0,0.0,fedyogi,1.0,0.5,1.0,4.6819776032334985,3.651687726905552,False,True,True,balanced,0.05,,,,,,,,,,,client_reported,final_round,0.5135781168937683,148,64.12612075805664,5.988507698391418,5.988507698391418,0.9689910411834717,0.4233841001987457,150,77.24868545532226,4.881175331573339,4.881175331573339,0.8041565418243408,0.4494212567806244,140,42.80857276916504,6.787478282167181,6.787478282167181,0.6949937343597412,0.3378995433789954,0.3424657534246575,0.319634703196347
20,llm_strict_generative_coherence,0.0005,20,0.38813476883657444,1655715.6164383562,1193123.9503424657,-0.1896049782769865,0.0,0.0,fedyogi,1.0,0.5,1.0,3.6177670111722984,3.066644678873527,False,True,True,coherence_shift,0.15,,,,,,,,,,,client_reported,final_round,0.4159179627895355,148,26.046332931518556,5.049355950315667,5.049355950315667,0.6895326375961304,0.36735230684280396,150,36.91763610839844,3.721427791229598,3.721427791229598,0.6010953187942505,0.3810308873653412,140,27.749836730957032,6.940985917467347,6.940985917467347,0.4345349073410034,0.315054,0.330969,0.353977
