round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,strict_coherence_guided,0.0005,20,0.9557434448368474,3470828.5,2904339.184931507,-0.9557434448368474,0.0,0.0,fedyogi,1.0,0.5,1.0,3.082739091047808,2.6688403227994244,False,True,True,,,,,,,,,,,client_reported,final_round,0.9692693948745728,148,646.6732299804687,4.25122859377263,4.25122859377263,1.9385387897491455,0.9409152865409851,150,646.978125,4.69502005381889,4.69502005381889,1.8818305730819702,0.9573318958282471,140,538.1686767578125,4.922955231411523,4.922955231411523,1.9146637916564941,0.36510771449547835,0.3292520941049038,0.30564019139961784
12,strict_coherence_guided,0.0005,20,0.9384906106887887,3415012.422374429,2854151.035388128,-0.9384906106887887,0.0,0.0,fedyogi,1.0,0.5,1.0,4.493432726236246,2.122633713875049,False,True,True,,,,,,,,,,,client_reported,final_round,0.9553991556167603,148,563.8411743164063,3.9694552255061226,3.9694552255061226,1.9107983112335205,0.9241836071014404,150,561.1489685058593,4.553865163009574,4.553865163009574,1.8483672142028809,0.9359447956085205,140,446.30547485351565,7.85274635651994,7.85274635651994,1.871889591217041,0.3224132278829196,0.33594402559458064,0.3416427465224998
13,strict_coherence_guided,0.0005,20,0.9122802250461491,3309208.429223744,2759762.904109589,-0.9122802250461491,0.0,0.0,fedyogi,1.0,0.5,1.0,5.35421938452315,2.8776440402069383,False,True,True,,,,,,,,,,,client_reported,final_round,0.9350041747093201,148,460.8168151855469,5.540129157957255,5.540129157957255,1.8700083494186401,0.8798393607139587,150,480.74412841796874,6.415003939860998,6.415003939860998,1.7596787214279175,0.923015832901001,140,349.6910034179688,7.279631320437766,7.279631320437766,1.846031665802002,0.3416408676076503,0.3474497189651011,0.3109094134272486
14,strict_coherence_guided,0.0005,20,0.8750160067048791,3175505.296803653,2640502.3984018266,-0.8750160067048791,0.0,0.0,fedyogi,1.0,0.5,1.0,5.8218202445388485,3.1405098185706954,False,True,True,,,,,,,,,,,client_reported,final_round,0.9058893918991089,148,379.7483703613281,5.87137083686848,5.87137083686848,1.8117787837982178,0.8409476280212402,150,389.7038513183594,6.461681854476983,6.461681854476983,1.6818952560424805,0.8788802623748779,140,277.822607421875,7.751853985484492,7.751853985484492,1.7577605247497559,0.3275420582538728,0.3526992870628498,0.31975865468327747
15,strict_coherence_guided,0.0005,20,0.8246343100451987,3037950.9634703198,2508243.633561644,-0.8246343100451987,0.0,0.0,fedyogi,1.0,0.5,1.0,6.113558981397973,3.9589495704930577,False,True,True,,,,,,,,,,,client_reported,final_round,0.8665514588356018,148,280.61472473144534,4.997418619415754,4.997418619415754,1.7331029176712036,0.7912556529045105,150,305.7760467529297,5.717154219555843,5.717154219555843,1.582511305809021,0.8160847425460815,140,198.18111877441407,10.51011052764249,10.51011052764249,1.632169485092163,0.31296607265060655,0.34503750103529085,0.34199642631410254
16,strict_coherence_guided,0.0005,20,0.7422307939289912,2827057.770547945,2305359.3732876712,-0.7422307939289912,0.0,0.0,fedyogi,1.0,0.5,1.0,5.5571251003514694,3.470982998290622,False,True,True,,,,,,,,,,,client_reported,final_round,0.781008243560791,148,223.10834655761718,5.328012511278191,5.328012511278191,1.562016487121582,0.7298600077629089,150,215.33472290039063,5.901210412615888,5.901210412615888,1.4597200155258179,0.7144919037818909,140,159.84779357910156,8.46441935299444,8.46441935299444,1.4289838075637817,0.30347464661637846,0.35784901951701503,0.3386763338666065
17,strict_coherence_guided,0.0005,20,0.6653823076862179,2630982.299086758,2106550.1757990867,-0.6611937504925139,0.0,0.0,fedyogi,1.0,0.5,1.0,7.667372680400554,4.443984127686568,False,True,True,,,,,,,,,,,client_reported,final_round,0.7168968915939331,148,145.39717712402344,9.032252988771184,9.032252988771184,1.4337937831878662,0.6539945006370544,150,153.37586975097656,7.23714774669654,7.23714774669654,1.3079890012741089,0.6231252551078796,140,95.94366760253907,8.581849496234526,8.581849496234526,1.2331463098526,0.3370659352388839,0.3441488514431805,0.3187852133179356
18,strict_coherence_guided,0.0005,20,0.5567923103837662,2325188.24086758,1794005.6038812785,-0.5272275326458831,0.0,0.0,fedyogi,1.0,0.5,1.0,5.959338248519423,4.064642916486487,False,True,True,,,,,,,,,,,client_reported,final_round,0.6008941531181335,148,100.46414794921876,7.0886545417815015,7.0886545417815015,1.1927400827407837,0.5417262315750122,150,100.0169174194336,6.4297635454409345,6.4297635454409345,1.0765306949615479,0.5263125896453857,140,76.83371124267578,6.903340646072553,6.903340646072553,0.9771110415458679,0.33439069398537513,0.34803398833791377,0.31757531767671104
19,strict_coherence_guided,0.0005,20,0.46431273698262426,2007393.5730593607,1479547.2128995433,-0.36687431746421884,0.0,0.0,fedyogi,1.0,0.5,1.0,5.587808113305322,3.8107344583082092,False,True,True,,,,,,,,,,,client_reported,final_round,0.5164602398872375,148,64.90738296508789,6.613766324289472,6.613766324289472,0.9743720293045044,0.4275437295436859,150,77.69384765625,5.679247860443891,5.679247860443891,0.8104068636894226,0.4485807418823242,140,43.274330139160156,7.610916238754719,7.610916238754719,0.7020845413208008,0.33762594105757215,0.3355818297593305,0.3267922291830974
20,strict_coherence_guided,0.0005,20,0.38886229278834444,1665442.6683789955,1198704.9046803652,-0.19278478898005943,0.0,0.0,fedyogi,1.0,0.5,1.0,4.2682348642079315,3.213176751018016,False,True,True,,,,,,,,,,,client_reported,final_round,0.41579169034957886,148,26.32712631225586,5.420765080459667,5.420765080459667,0.690459132194519,0.3683931827545166,150,37.286925888061525,4.378570089350488,4.378570089350488,0.6100722551345825,0.38232526183128357,140,27.892192840576172,7.414897509850248,7.414897509850248,0.4361616373062134,0.3185350212911029,0.34080226643059786,0.3406627122782992
