round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
7,size_only,Client 3,140,974.0205078125,0.9981234,2315291.5,1992758.5,-0.9981234,0.319634703196347
8,size_only,Client 1,148,1040.05126953125,0.9968056,3970162.0,3228730.0,-0.9968056,0.3378995433789954
8,size_only,Client 2,150,1045.303125,0.9936366,4584739.0,3870613.5,-0.9936366,0.3424657534246575
8,size_only,Client 3,140,864.4995849609375,0.9965691,2310040.2,1988705.5,-0.9965691,0.319634703196347
9,size_only,Client 1,148,938.93173828125,0.9938194,3954071.0,3216438.0,-0.9938194,0.3378995433789954
9,size_only,Client 2,150,931.4634643554688,0.98916256,4567684.0,3853428.8,-0.98916256,0.3424657534246575
9,size_only,Client 3,140,774.1147827148437,0.99395114,2301422.5,1982014.0,-0.99395114,0.319634703196347
10,size_only,Client 1,148,826.0521484375,0.989228,3927045.5,3196772.5,-0.989228,0.3378995433789954
10,size_only,Client 2,150,844.5688720703125,0.98270357,4543813.5,3828822.0,-0.98270357,0.3424657534246575
10,size_only,Client 3,140,701.7961303710938,0.9896362,2287172.0,1971135.4,-0.9896362,0.319634703196347
11,size_only,Client 1,148,727.1139404296875,0.9823985,3894230.2,3170938.0,-0.9823985,0.3378995433789954
11,size_only,Client 2,150,752.7975952148438,0.9718283,4502835.5,3787334.8,-0.9718283,0.3424657534246575
11,size_only,Client 3,140,605.168359375,0.9793888,2256757.5,1946446.9,-0.9793888,0.319634703196347
12,size_only,Client 1,148,633.0723388671875,0.97158957,3842044.2,3129927.8,-0.97158957,0.3378995433789954
12,size_only,Client 2,150,633.2041137695312,0.95377684,4423618.0,3713320.0,-0.95377684,0.3424657534246575
12,size_only,Client 3,140,523.6219360351563,0.9654115,2220732.5,1916289.5,-0.9654115,0.319634703196347
13,size_only,Client 1,148,521.3724365234375,0.9508874,3757413.8,3059521.2,-0.9508874,0.3378995433789954
13,size_only,Client 2,150,561.2738037109375,0.9330013,4337156.5,3630599.2,-0.9330013,0.3424657534246575
13,size_only,Client 3,140,412.2792907714844,0.9453979,2169963.0,1874084.6,-0.9453979,0.319634703196347
14,size_only,Client 1,148,433.6623229980469,0.927735,3655953.0,2978835.0,-0.927735,0.3378995433789954
14,size_only,Client 2,150,426.3044799804687,0.8974028,4182511.8,3488344.8,-0.8974028,0.3424657534246575
14,size_only,Client 3,140,325.3017913818359,0.9204204,2124482.5,1832229.4,-0.9204204,0.319634703196347
15,size_only,Client 1,148,345.7380004882813,0.87727505,3496508.0,2828304.5,-0.87727505,0.3378995433789954
15,size_only,Client 2,150,324.8283996582031,0.8553025,4014420.0,3326595.8,-0.8553025,0.3424657534246575
15,size_only,Client 3,140,259.6316650390625,0.8727243,1990479.1,1716854.0,-0.8727243,0.319634703196347
16,size_only,Client 1,148,265.4906860351563,0.8246103,3283621.8,2645578.0,-0.8246103,0.3378995433789954
16,size_only,Client 2,150,242.99508361816407,0.8022891,3817403.0,3129118.0,-0.8022891,0.3424657534246575
