round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
11,size_only,0.0005,20,0.9458426,3671626.0,2794391.0,-0.9458426,0.33008805,-1.11836838722229,fedyogi,1.0,0.4,1.0,7.152766629996915,3.6551655472510833,False,True,True,0.9588800668716431,148,590.8778076171875,7.636039005866044,7.636039005866044,1.9177601337432861,0.934075117111206,150,604.5425048828125,9.713075012011464,9.713075012011464,1.868150234222412,0.9524720311164856,140,493.230419921875,6.979891321056992,6.979891321056992,1.9049440622329712,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9232862,3589234.2,2723295.2,-0.9232862,0.32268083,-1.0243620872497559,fedyogi,1.0,0.4,1.0,7.093416585844937,3.708635679377242,False,True,True,0.9399085640907288,148,488.66054077148436,7.339354417656295,7.339354417656295,1.8798171281814575,0.9015704989433289,150,507.6797119140625,9.570962288966584,9.570962288966584,1.8031409978866577,0.9306730628013611,140,410.4699279785156,7.737500393039921,7.737500393039921,1.8613461256027222,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.89094174,3483545.5,2627653.8,-0.89094174,0.31317914,-0.9068984985351562,fedyogi,1.0,0.4,1.0,8.038794644435763,3.7125166928535362,False,True,True,0.9114294648170471,148,426.6148376464844,7.463132455053523,7.463132455053523,1.8228589296340942,0.8696101307868958,150,398.66660766601564,10.712460509259774,10.712460509259774,1.7392202615737915,0.9031103849411011,140,318.89671630859374,8.358297886108122,8.358297886108122,1.8062207698822021,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.8474234,3372229.5,2516654.2,-0.8474234,0.30317158,-0.7869764566421509,fedyogi,1.0,0.4,1.0,7.28577877702737,3.8722614697231457,False,True,True,0.8833463788032532,148,295.7565093994141,7.438799690964194,7.438799690964194,1.7666927576065063,0.8247672915458679,150,303.61195983886716,8.264037625345432,8.264037625345432,1.6495345830917358,0.8663023114204407,140,238.9068634033203,8.446268145815601,8.446268145815601,1.7326046228408813,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.7792534,3168921.5,2331814.5,-0.7792534,0.2848937,-0.5780020952224731,fedyogi,1.0,0.4,1.0,6.687100593005345,3.43116554008224,False,True,True,0.8176171183586121,148,223.26529541015626,7.135827729592315,7.135827729592315,1.6352342367172241,0.7589185237884521,150,236.34681396484376,6.755987643861223,6.755987643861223,1.5178370475769043,0.7847704887390137,140,171.77135009765624,8.184553482246274,8.184553482246274,1.5695114135742188,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.67586464,2899313.0,2063349.4,-0.67567116,0.26065522,-0.32091474533081055,fedyogi,1.0,0.4,1.0,6.653945401609754,3.3917798626166866,False,True,True,0.7479934692382812,148,163.5216491699219,8.559101307470131,8.559101307470131,1.4959869384765625,0.6562625765800476,150,170.31761932373047,6.202892047361814,6.202892047361814,1.3125251531600952,0.6815135478973389,140,116.81585235595703,7.111234459389717,7.111234459389717,1.3566181659698486,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.57205796,2654086.8,1795087.5,-0.5592045,0.2386088,-0.10691630840301514,fedyogi,1.0,0.4,1.0,6.3270172418020385,3.2234979149050003,False,True,True,0.6385531425476074,148,110.40715789794922,6.165255870647076,6.165255870647076,1.2733032703399658,0.5705989599227905,150,108.81329040527343,7.773838141607341,7.773838141607341,1.141197919845581,0.6262956261634827,140,69.22573165893554,7.2176434434795,7.2176434434795,1.199730396270752,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.4519356,2328682.5,1463094.0,-0.40264046,0.20935418,0.14787143468856812,fedyogi,1.0,0.4,1.0,6.056020017797215,3.051941783027503,False,True,True,0.5159549117088318,148,89.10187454223633,5.7512856129760515,5.7512856129760515,0.9996175765991211,0.4716496765613556,150,71.7797348022461,7.0385867098883175,7.0385867098883175,0.8848234415054321,0.46355974674224854,140,47.49943580627441,8.98820761171869,8.98820761171869,0.880918025970459,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.37425125,2067789.4,1242712.6,-0.23468167,0.18589926,0.32811152935028076,fedyogi,1.0,0.4,1.0,4.8987994517337015,2.009311340278879,False,True,True,0.503505527973175,148,53.31423416137695,5.419439104079749,5.419439104079749,0.8294434547424316,0.42024460434913635,150,42.0764347076416,5.79120804397333,5.79120804397333,0.6415392160415649,0.4086865484714508,140,38.77999382019043,6.854363218383528,6.854363218383528,0.5818776488304138,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.3372348,1897259.1,1114709.5,-0.08022342,0.17056817,0.43436288833618164,fedyogi,1.0,0.4,1.0,4.727113855743398,2.709306214652477,False,True,True,0.41741710901260376,148,42.023743057250975,6.240042417997725,6.240042417997725,0.5446794033050537,0.4073297381401062,150,34.81437759399414,5.349515849130091,5.349515849130091,0.48209643363952637,0.3910619020462036,140,48.13070831298828,5.806677026026019,5.806677026026019,0.402401328086853,0.3378995433789954,0.3424657534246575,0.319634703196347
