scenario,model_type,training_samples,training_scope,local_validation_samples_withheld,validation_samples,test_samples,n_estimators,learning_rate,max_depth,val_mape,val_rmse,val_mae,val_mpe,val_nrmse,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,scenario_key,seed,split_seed,elapsed_seconds,success,command,result_file,code_commit,code_dirty,llm_provider,llm_temperature,seed_result_file,hidden_dims,dropout,weight_decay,batch_size,best_epoch,best_val_mape,test_r2,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value,num_rounds,best_round,server_optimizer,server_lr,server_beta1,server_beta2,server_tau,server_lr_scale,max_coordinate_step_ratio,update_clip_norm,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,use_llm
验证引导自适应联邦学习（VG-FedYogi-TR）,,,,,,,,,,,,,,,0.43280682,1729997.4,1232104.6,-0.2099375,0.19406758,VG_FEDYOGI_TR,42,42,177.9032723903656,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 42,results\vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\VG_FEDYOGI_TR_seed42_result.csv,,,,,,0.39455438,0.2957335114479065,0.44927642,1513937.1,1102905.5,0.023703966,0.4606609940528869,-0.22823147,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
验证引导自适应联邦学习（VG-FedYogi-TR）,,,,,,,,,,,,,,,0.444268,1551303.6,1078381.6,-0.02460533,0.17402208,VG_FEDYOGI_TR,123,42,88.80250835418701,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 123,results\vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\VG_FEDYOGI_TR_seed123_result.csv,,,,,,0.36151823,0.4337087869644165,0.45034584,1518887.6,1057718.8,0.018653005,0.4571278691291809,-0.042466197,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
验证引导自适应联邦学习（VG-FedYogi-TR）,,,,,,,,,,,,,,,0.4628892,1591558.9,1109214.9,-0.08463593,0.17853783,VG_FEDYOGI_TR,456,42,89.7563624382019,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 456,results\vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\VG_FEDYOGI_TR_seed456_result.csv,,,,,,0.38107973,0.403937816619873,0.47746804,1509163.4,1066587.6,0.03906164,0.4640568494796753,-0.11904743,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
验证引导自适应联邦学习（VG-FedYogi-TR）,,,,,,,,,,,,,,,0.6281659,1632957.6,1222925.0,0.14839053,0.18318185,VG_FEDYOGI_TR,789,42,85.67303037643433,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 789,results\vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\VG_FEDYOGI_TR_seed789_result.csv,,,,,,0.4753984,0.3725255727767944,0.6166887,1626966.9,1210852.2,0.12409311,0.3771211504936218,0.021615118,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
验证引导自适应联邦学习（VG-FedYogi-TR）,,,,,,,,,,,,,,,0.45010802,1655469.5,1169418.6,-0.26337227,0.1857072,VG_FEDYOGI_TR,2024,42,84.2079439163208,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 2024,results\vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\VG_FEDYOGI_TR_seed2024_result.csv,,,,,,0.5164356,0.3551055788993835,0.4562511,1600630.5,1144865.6,-0.113904044,0.3971235156059265,-0.16868171,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,,,,,,,,,,,,,,,0.42551887,1666848.5,1188232.2,-0.16375084,0.18698366,MAS_VG_FEDYOGI_TR,42,42,282.3021757602692,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 42,results\mas_vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.0,results\multi_seed\MAS_VG_FEDYOGI_TR_seed42_result.csv,,,,,,0.39905277,0.3462098240852356,0.45164075,1513522.5,1107653.4,0.02895359,0.460956335067749,-0.18728198,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,True
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,,,,,,,,,,,,,,,0.44625893,1581309.1,1122097.5,-0.07384754,0.17738803,MAS_VG_FEDYOGI_TR,123,42,142.4629898071289,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 123,results\mas_vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.0,results\multi_seed\MAS_VG_FEDYOGI_TR_seed123_result.csv,,,,,,0.361799,0.4115903973579407,0.4506493,1537667.8,1084789.5,-0.009973986,0.4436203837394714,-0.06451703,20.0,19.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,True
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,,,,,,,,,,,,,,,0.4668491,1607968.5,1121525.0,-0.08866267,0.18037863,MAS_VG_FEDYOGI_TR,456,42,142.88637042045593,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 456,results\mas_vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.0,results\multi_seed\MAS_VG_FEDYOGI_TR_seed456_result.csv,,,,,,0.38435292,0.3915831446647644,0.481459,1515656.9,1075134.6,0.034360588,0.4594349265098572,-0.11893654,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,True
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,,,,,,,,,,,,,,,0.59409255,1611070.2,1193246.2,0.104279935,0.18072657,MAS_VG_FEDYOGI_TR,789,42,149.60285115242004,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 789,results\mas_vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.0,results\multi_seed\MAS_VG_FEDYOGI_TR_seed789_result.csv,,,,,,0.46282825,0.3892335295677185,0.59895766,1613499.5,1196362.1,0.11777524,0.3873902559280395,-0.012073333,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,True
多智能体协同验证引导自适应联邦学习（MAS-VG-FedYogi-TR）,,,,,,,,,,,,,,,0.47072884,1710569.6,1243286.1,-0.29197815,0.19188821,MAS_VG_FEDYOGI_TR,2024,42,149236.46117711067,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --temperature 0 --server_optimizer fedyogi --adaptive_mode mas_validation_guided --llm_score_tolerance 0.003 --output_prefix mas_vg_fedyogi_tr --method_key MAS_VG_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 2024,results\mas_vg_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.0,results\multi_seed\MAS_VG_FEDYOGI_TR_seed2024_result.csv,,,,,,0.50462663,0.3114623427391052,0.463479,1597098.5,1137034.9,-0.09516044,0.3997811675071716,-0.2175167,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,mas_validation_guided,30.0,0.05,0.05,0.8,0.002,0.003,0.4,True
一致性感知自适应联邦学习（Coherence-FedYogi-TR）,,,,,,,,,,,,,,,0.42805526,1708977.1,1220648.9,-0.19588304,0.19170956,COHERENCE_FEDYOGI_TR,42,42,213.56145763397217,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode coherence_guided --output_prefix coherence_fedyogi_tr --method_key COHERENCE_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 42,results\coherence_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\COHERENCE_FEDYOGI_TR_seed42_result.csv,,,,,,0.39920244,0.3127437233924866,0.42694056,1517661.9,1081029.5,-0.015001445,0.4580038189888,-0.18363646,20.0,20.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,coherence_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
一致性感知自适应联邦学习（Coherence-FedYogi-TR）,,,,,,,,,,,,,,,0.5088326,1688267.2,1165156.4,-0.068259075,0.18938638,COHERENCE_FEDYOGI_TR,123,42,153.25648474693298,True,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode coherence_guided --output_prefix coherence_fedyogi_tr --method_key COHERENCE_FEDYOGI_TR --server_lr 0.5 --max_coordinate_step_ratio 1 --seed 123,results\coherence_fedyogi_tr_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\COHERENCE_FEDYOGI_TR_seed123_result.csv,,,,,,0.40250087,0.3292995095252991,0.5166721,1561937.6,1075045.4,0.04885359,0.4259184598922729,-0.11165782,20.0,19.0,fedyogi,0.5,0.9,0.99,0.001,1.0,1.0,,coherence_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,False
